PlayerName,FromTeam,FromLocation
Patrick Patterson,Toronto Raptors,"40 Bay Street, Toronto, Ontario, Canada"
Raymond Felton,Los Angeles Clippers,"1111 South Figueroa Street Los Angeles, CA"
Daniel Hamilton,University of Connecticut Huskies,"2095 Hillside Road
Storrs, Connecticut, United States 06269"
P.J. Dozier,University of South Carolina Gamecocks,"801 Lincoln Street
Columbia, South Carolina 29208"
Paul George,Indiana Pacers,"125 S. Pennsylvania St. Indianapolis, IN 46204"
Carmelo Anthony,New York Knicks,"4 Pennsylvania Plaza New York City, New York"
Terrance Ferguson ,Adelaide 36ers,"44A Crittenden Road, Findon, Adelaide, South Australia, Australia"
Dakari Johnson,Oklahoma City Blue,"1 Myriad Gardens Oklahoma City, Oklahoma"
Semaj Christon,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Norris Cole,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Taj Gibson,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Enes Kanter,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Doug McDermott,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Victor Oladipo,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Domantas Sabonis,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
