PlayerName,ToTeam,ToLocation
Patrick Patterson,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Raymond Felton,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Daniel Hamilton,Oklahoma City Blue,"1 Myriad Gardens Oklahoma City, Oklahoma"
P.J. Dozier,Oklahoma City Blue,"1 Myriad Gardens Oklahoma City, Oklahoma"
Paul George,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Carmelo Anthony,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Terrance Ferguson ,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Dakari Johnson,Oklahoma City Thunder,"100 West Reno Avenue Oklahoma City, Oklahoma"
Semaj Christon,Guangzhou Long-Lions,"Guangzhou City, Foshan City, China"
Norris Cole, Maccabi Tel Aviv ,"51 Yigal Alon Street Tel Aviv, Israel"
Taj Gibson,Minnesota Timberwolves,"600 First Avenue North Minneapolis, MN 55403"
Enes Kanter,New York Knicks,"4 Pennsylvania Plaza New York City, New York"
Doug McDermott,New York Knicks,"4 Pennsylvania Plaza New York City, New York"
Victor Oladipo,Indiana Pacers,"125 S. Pennsylvania St. Indianapolis, IN 46204"
Domantas Sabonis,Indiana Pacers,"125 S. Pennsylvania St. Indianapolis, IN 46204"
